epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.44852,1.07914,3.0714,1.42696,0.00334,1,0.32116,0.10923,0.64586,2.96937,1.25507,1.667e-05,1.667e-05,1.667e-05
2,4.35751,1.17576,3.20915,1.61198,0.00334,1,0.30696,0.13867,0.65546,2.97143,1.25857,4.90198e-05,4.90198e-05,4.90198e-05
3,5.17708,1.32308,3.10395,1.54722,0.00334,1,0.40504,0.18139,0.56615,2.97434,1.24943,8.00493e-05,8.00493e-05,8.00493e-05
4,6.13419,1.32725,3.10157,1.49924,0.00333,1,0.47448,0.29506,0.51731,2.96321,1.19702,0.000109759,0.000109759,0.000109759
5,7.24458,0.76571,2.96408,1.33165,0.00343,1,0.51497,0.3874,0.48192,2.95197,1.19642,0.000138148,0.000138148,0.000138148
6,8.0606,0.80455,2.71718,1.26291,0.00359,1,0.58669,0.48956,0.46013,2.87935,1.10612,0.000165216,0.000165216,0.000165216
7,9.22002,0.95903,2.92517,1.56872,0.00383,1,0.60182,0.51799,0.47482,2.77907,1.10574,0.000190965,0.000190965,0.000190965
8,10.3751,0.97548,2.27967,1.4041,0.00422,1,0.63834,0.49347,0.49467,2.72113,1.1732,0.000215393,0.000215393,0.000215393
9,11.5516,0.87611,2.02686,1.31329,0.00454,1,0.65708,0.51584,0.52051,2.70595,1.1813,0.000238501,0.000238501,0.000238501
10,12.6383,0.82686,2.02581,1.29022,0.00436,1,0.65999,0.47879,0.55049,2.68274,1.22668,0.000260289,0.000260289,0.000260289
11,13.4766,0.78764,1.9642,1.31466,0.00418,1,0.65353,0.49394,0.55111,2.63767,1.20804,0.000280756,0.000280756,0.000280756
12,14.2506,0.70472,1.94286,1.26432,0.00411,1,0.69051,0.52262,0.56672,2.58442,1.19286,0.000299903,0.000299903,0.000299903
13,15.0703,0.83545,1.88708,1.35438,0.00409,1,0.71067,0.56357,0.6042,2.51677,1.16954,0.00031773,0.00031773,0.00031773
14,15.8577,0.85571,1.73669,1.30266,0.00392,1,0.73269,0.58504,0.62729,2.46103,1.18325,0.000334237,0.000334237,0.000334237
15,16.8436,0.63304,1.65133,1.12849,0.83267,0.25,0.63155,0.50184,0.66491,2.3782,1.21923,0.000349423,0.000349423,0.000349423
16,17.6397,0.68543,1.56973,1.17579,0.80452,0.29953,0.63765,0.50576,0.63027,2.35394,1.21436,0.000363289,0.000363289,0.000363289
17,18.4099,0.72376,1.41393,1.15086,0.83364,0.46747,0.74641,0.57055,0.58327,2.2964,1.20628,0.000375835,0.000375835,0.000375835
18,19.1949,0.81733,1.39472,1.30705,0.89838,0.19676,0.84983,0.67556,0.61089,2.16068,1.3042,0.000387061,0.000387061,0.000387061
19,20.0417,0.89933,1.37178,1.30164,0.94958,0.44619,0.87704,0.70408,0.62666,2.02213,1.38394,0.000396966,0.000396966,0.000396966
20,20.8359,0.92581,2.02152,1.55706,0.78003,0.45,0.95903,0.76064,0.67682,1.92242,1.47435,0.000405551,0.000405551,0.000405551
21,21.6545,0.78662,1.72584,1.3168,0.98741,0.45,0.94771,0.74438,0.70154,1.93796,1.52408,0.000412816,0.000412816,0.000412816
22,22.6122,0.77832,1.79798,1.2682,0.9938,0.45,0.97945,0.69119,0.75511,1.92897,1.67038,0.00041876,0.00041876,0.00041876
23,23.7877,0.89228,1.76625,1.46866,0.78852,0.5,0.93471,0.61305,0.79173,1.9396,1.56135,0.000423385,0.000423385,0.000423385
24,25.0182,0.70232,1.2806,1.19804,0.81084,0.62222,0.83434,0.54936,0.76985,2.02782,1.40686,0.000426689,0.000426689,0.000426689
25,26.1455,0.85468,1.49983,1.28586,0.7809,0.61313,0.76505,0.56631,0.64008,2.01339,1.22267,0.000428672,0.000428672,0.000428672
26,26.9259,0.84424,1.35737,1.26613,0.63031,0.42222,0.72585,0.55149,0.68172,1.96975,1.26151,0.000429336,0.000429336,0.000429336
27,27.7193,0.77617,1.48916,1.24002,0.98684,0.61243,0.90863,0.73456,0.67337,1.91174,1.26694,0.000428679,0.000428679,0.000428679
28,28.5209,0.82795,1.43392,1.29864,0.98684,0.61243,0.90863,0.73456,0.67337,1.91174,1.26694,0.000426702,0.000426702,0.000426702
